,Test Errors,Test Error Rate,Test False Positives,Train Accuracy,Train Size,Test Size,Test Accuracy,Test False Negatives
400140,293,30.2685950413,11,0.935669920142,2254,968,69.7314049587,282
412500,1,2.22222222222,1,1.0,105,45,97.7777777778,0
412501,2,7.40740740741,0,0.983870967742,62,27,92.5925925926,2
412502,1,9.09090909091,0,0.92,25,11,90.9090909091,1
400321,97,19.1699604743,16,0.971210838273,1181,506,80.8300395257,81
400320,118,17.4814814815,22,0.970440251572,1590,675,82.5185185185,96
400326,363,40.1993355482,9,0.945506692161,2092,903,59.8006644518,354
400657,116,32.1329639889,30,0.965558194774,842,361,67.8670360111,86
400656,59,17.2514619883,44,0.975796178344,785,342,82.7485380117,15
400655,41,11.4845938375,13,0.973589435774,833,357,88.5154061625,28
400654,91,25.348189415,2,0.980769230769,832,359,74.651810585,89
400653,71,19.7222222222,13,0.967703349282,836,360,80.2777777778,58
400652,46,13.0681818182,10,0.975816203144,827,352,86.9318181818,36
400651,90,26.0869565217,8,0.964601769912,791,345,73.9130434783,82
400198,201,28.2303370787,19,0.934328358209,1675,712,71.7696629213,182
412209,16,5.73476702509,12,0.978625954198,655,279,94.2652329749,4
400659,41,12.1661721068,22,0.984732824427,786,337,87.8338278932,19
400199,226,29.9734748011,97,0.916619398752,1763,754,70.0265251989,129
400211,372,38.8714733542,24,0.917647058824,2210,957,61.1285266458,348
412398,9,11.1111111111,9,0.984126984127,189,81,88.8888888889,0
400216,245,24.4267198405,102,0.931934931507,2336,1003,75.5732801595,143
412393,3,3.33333333333,2,0.980952380952,210,90,96.6666666667,1
412392,9,10.2272727273,3,0.971014492754,207,88,89.7727272727,6
412395,7,8.53658536585,7,0.994708994709,189,82,91.4634146341,0
412394,1,1.23456790123,1,0.994680851064,188,81,98.7654320988,0
412397,5,6.09756097561,5,0.994565217391,184,82,93.9024390244,0
412396,13,16.4556962025,9,0.961956521739,184,79,83.5443037975,4
412399,5,6.17283950617,5,0.978723404255,188,81,93.8271604938,0
400195,113,22.2003929273,22,0.952421410365,1177,509,77.7996070727,91
400196,55,11.1111111111,31,0.982788296041,1162,495,88.8888888889,24
400219,114,13.4911242604,64,0.964974619289,1970,845,86.5088757396,50
400218,193,28.3406754772,35,0.916197623515,1599,681,71.6593245228,158
400356,169,25.5287009063,31,0.930187459599,1547,662,74.4712990937,138
400355,100,23.7529691211,7,0.960406091371,985,421,76.2470308789,93
